frame, x, y
0,  1245.97,  578.71
1,  1255.95,  579.42
2,  1265.92,  580.13
3,  1275.90,  580.83
4,  1285.87,  581.54
5,  1295.85,  582.25
6,  1305.82,  582.96
7,  1315.80,  583.67
8,  1325.77,  584.38
9,  1335.75,  585.09
10,  1345.72,  585.80
11,  1355.70,  586.50
12,  1365.67,  587.21
13,  1375.65,  587.92
14,  1385.62,  588.63
15,  1395.60,  589.34
16,  1405.57,  590.05
17,  1415.55,  590.76
18,  1425.52,  591.47
19,  1415.55,  592.17
20,  1405.57,  592.88
21,  1395.60,  593.59
22,  1385.62,  594.30
23,  1375.65,  595.01
24,  1365.67,  595.72
25,  1355.70,  596.43
26,  1345.72,  597.14
27,  1335.75,  597.84
28,  1325.77,  598.55
29,  1315.80,  599.26
30,  1305.82,  599.97
31,  1295.85,  600.68
32,  1285.87,  601.39
33,  1275.90,  602.10
34,  1265.92,  602.81
35,  1255.95,  603.51
36,  1245.97,  604.22
37,  1236.00,  604.93
38,  1226.03,  605.64
39,  1216.05,  606.35
40,  1206.08,  607.06
41,  1196.10,  607.77
42,  1186.13,  608.48
43,  1176.15,  609.18
44,  1166.18,  609.89
45,  1156.20,  610.60
46,  1146.23,  611.31
47,  1136.25,  612.02
48,  1126.28,  612.73
49,  1116.30,  613.44
50,  1106.33,  614.15
51,  1096.35,  614.85
52,  1086.38,  615.56
53,  1076.40,  616.27
54,  1066.43,  616.98
55,  1056.45,  617.69
56,  1046.48,  618.40
57,  1036.50,  619.11
58,  1026.53,  619.81
59,  1016.55,  620.52
60,  1006.58,  621.23
61,  996.60,  621.94
62,  986.63,  622.65
63,  976.65,  623.36
64,  966.68,  624.07
65,  956.70,  624.78
66,  946.73,  625.48
67,  936.75,  626.19
68,  926.78,  626.90
69,  916.80,  627.61
70,  906.83,  628.32
71,  896.85,  629.03
72,  886.88,  629.74
73,  876.91,  630.45
74,  866.93,  631.15
75,  856.96,  631.86
76,  846.98,  632.57
77,  837.01,  633.28
78,  827.03,  633.99
79,  817.06,  634.70
80,  807.08,  635.41
81,  797.11,  636.12
82,  787.13,  636.82
83,  777.16,  637.53
84,  767.18,  638.24
85,  757.21,  638.95
86,  747.23,  639.66
87,  737.26,  640.37
88,  727.28,  641.08
89,  717.31,  641.79
90,  707.33,  642.49
91,  697.36,  643.20
92,  687.38,  643.91
93,  677.41,  644.62
94,  667.43,  645.33
95,  657.46,  646.04
96,  647.48,  646.75
97,  637.51,  647.46
