image_name,x,y
0000.jpg,1245.97,578.71
0001.jpg,1295.85,582.25
0002.jpg,1345.72,585.8
0003.jpg,1395.6,589.34
0004.jpg,1405.57,592.88
0005.jpg,1355.7,596.43
0006.jpg,1305.82,599.97
0007.jpg,1255.95,603.51
0008.jpg,1206.08,607.06
0009.jpg,1156.2,610.6
0010.jpg,1106.33,614.15
0011.jpg,1056.45,617.69
0012.jpg,1006.58,621.23
0013.jpg,956.7,624.78
0014.jpg,906.83,628.32
0015.jpg,856.96,631.86
0016.jpg,807.08,635.41
0017.jpg,757.21,638.95
0018.jpg,707.33,642.49
0019.jpg,657.46,646.04
0020.jpg,607.58,649.58
0021.jpg,557.71,653.13
0022.jpg,507.84,656.67
0023.jpg,457.96,660.21
0024.jpg,408.09,663.76
0025.jpg,358.21,667.3
0026.jpg,308.34,670.84
0027.jpg,258.46,674.39
0028.jpg,208.59,677.93
0029.jpg,158.72,681.47
0030.jpg,108.84,685.02
0031.jpg,58.97,688.56
0032.jpg,9.09,692.11
0033.jpg,39.02,695.65
0034.jpg,88.89,699.19
0035.jpg,138.77,702.74
0036.jpg,188.64,706.28
0037.jpg,238.51,709.82
0038.jpg,288.39,713.37
0039.jpg,338.26,716.91
0040.jpg,388.14,720.45
0041.jpg,438.01,724.0
0042.jpg,487.89,727.54
0043.jpg,537.76,731.08
0044.jpg,587.63,734.63
0045.jpg,637.51,738.17
0046.jpg,687.38,741.72
0047.jpg,737.26,745.26
0048.jpg,787.13,748.8
0049.jpg,837.01,752.35
0050.jpg,886.88,755.89
0051.jpg,936.75,759.43
0052.jpg,986.63,762.98
0053.jpg,1036.5,766.52
0054.jpg,1086.38,770.06
0055.jpg,1136.25,773.61
0056.jpg,1186.13,777.15
0057.jpg,1236.0,780.7
0058.jpg,1285.87,784.24
0059.jpg,1335.75,787.78
0060.jpg,1385.62,791.33
0061.jpg,1415.55,794.87
0062.jpg,1365.67,798.41
0063.jpg,1315.8,801.96
0064.jpg,1265.92,805.5
0065.jpg,1216.05,809.04
0066.jpg,1166.18,812.59
0067.jpg,1116.3,816.13
0068.jpg,1066.43,819.68
0069.jpg,1016.55,823.22
0070.jpg,966.68,826.76
0071.jpg,916.8,830.31
0072.jpg,866.93,833.85
0073.jpg,817.06,837.39
0074.jpg,767.18,840.94
0075.jpg,717.31,844.48
0076.jpg,667.43,848.02
0077.jpg,617.56,851.57
0078.jpg,567.68,855.11
0079.jpg,517.81,858.66
0080.jpg,467.94,862.2
0081.jpg,418.06,865.74
0082.jpg,368.19,869.29
0083.jpg,318.31,871.41
0084.jpg,268.44,867.87
0085.jpg,218.56,864.33
0086.jpg,168.69,860.78
0087.jpg,118.82,857.24
0088.jpg,68.94,853.69
0089.jpg,19.07,850.15
0090.jpg,29.04,846.61
0091.jpg,78.92,843.06
0092.jpg,128.79,839.52
0093.jpg,178.67,835.98
0094.jpg,228.54,832.43
0095.jpg,278.41,828.89
0096.jpg,328.29,825.35
0097.jpg,378.16,821.8
0098.jpg,428.04,818.26
0099.jpg,477.91,814.71
0100.jpg,527.79,811.17
0101.jpg,577.66,807.63
0102.jpg,627.53,804.08
0103.jpg,677.41,800.54
0104.jpg,727.28,797.0
0105.jpg,777.16,793.45
0106.jpg,827.03,789.91
0107.jpg,876.91,786.37
0108.jpg,926.78,782.82
0109.jpg,976.65,779.28
0110.jpg,1026.53,775.73
0111.jpg,1076.4,772.19
0112.jpg,1126.28,768.65
0113.jpg,1176.15,765.1
0114.jpg,1226.03,761.56
0115.jpg,1275.9,758.02
0116.jpg,1325.77,754.47
0117.jpg,1375.65,750.93
0118.jpg,1425.52,747.39
0119.jpg,1375.65,743.84
0120.jpg,1325.77,740.3
0121.jpg,1275.9,736.75
0122.jpg,1226.03,733.21
0123.jpg,1176.15,729.67
0124.jpg,1126.28,726.12
0125.jpg,1076.4,722.58
0126.jpg,1026.53,719.04
0127.jpg,976.65,715.49
0128.jpg,926.78,711.95
0129.jpg,876.91,708.41
0130.jpg,827.03,704.86
0131.jpg,777.16,701.32
0132.jpg,727.28,697.77
0133.jpg,677.41,694.23
0134.jpg,627.53,690.69
0135.jpg,577.66,687.14
0136.jpg,527.79,683.6
0137.jpg,477.91,680.06
0138.jpg,428.04,676.51
0139.jpg,378.16,672.97
0140.jpg,328.29,669.43
0141.jpg,278.41,665.88
0142.jpg,228.54,662.34
0143.jpg,178.67,658.79
0144.jpg,128.79,655.25
0145.jpg,78.92,651.71
0146.jpg,29.04,648.16
0147.jpg,19.07,644.62
