image_name,x,y
0000.jpg,1413.58,146.11
0001.jpg,1409.0,101.67
0002.jpg,1386.1,57.22
0003.jpg,1363.19,12.78
0004.jpg,1340.29,39.44
0005.jpg,1317.38,83.89
0006.jpg,1294.48,128.33
0007.jpg,1271.57,172.78
0008.jpg,1248.67,217.22
0009.jpg,1225.76,261.67
0010.jpg,1202.86,306.11
0011.jpg,1179.96,350.56
0012.jpg,1157.05,395.0
0013.jpg,1134.15,439.45
0014.jpg,1111.24,483.9
0015.jpg,1088.34,528.34
0016.jpg,1065.43,572.79
0017.jpg,1042.53,617.23
0018.jpg,1019.62,661.68
0019.jpg,996.72,706.12
0020.jpg,973.82,750.57
0021.jpg,950.91,795.01
0022.jpg,928.01,839.46
0023.jpg,905.1,866.12
0024.jpg,882.2,821.68
0025.jpg,859.29,777.23
0026.jpg,836.39,732.79
0027.jpg,813.48,688.34
0028.jpg,790.58,643.9
0029.jpg,767.67,599.45
0030.jpg,744.77,555.01
0031.jpg,721.87,510.56
0032.jpg,698.96,466.12
0033.jpg,676.06,421.67
0034.jpg,653.15,377.23
0035.jpg,630.25,332.78
0036.jpg,607.34,288.34
0037.jpg,584.44,243.89
0038.jpg,561.53,199.45
0039.jpg,538.63,155.0
0040.jpg,515.73,110.55
0041.jpg,492.82,66.11
0042.jpg,469.92,21.66
0043.jpg,447.01,30.55
0044.jpg,424.11,75.0
0045.jpg,401.2,119.44
0046.jpg,378.3,163.89
0047.jpg,355.39,208.33
0048.jpg,332.49,252.78
0049.jpg,309.59,297.22
0050.jpg,286.68,341.67
0051.jpg,263.78,386.12
0052.jpg,240.87,430.56
0053.jpg,217.97,475.01
0054.jpg,195.06,519.45
0055.jpg,172.16,563.9
0056.jpg,149.25,608.34
0057.jpg,126.35,652.79
0058.jpg,103.45,697.23
0059.jpg,80.54,741.68
0060.jpg,57.64,786.12
0061.jpg,34.73,830.57
0062.jpg,11.83,875.01
0063.jpg,25.57,830.57
0064.jpg,48.47,786.12
0065.jpg,71.38,741.68
0066.jpg,94.28,697.23
0067.jpg,117.19,652.79
0068.jpg,140.09,608.34
0069.jpg,163.0,563.9
0070.jpg,185.9,519.45
0071.jpg,208.81,475.01
0072.jpg,231.71,430.56
0073.jpg,254.61,386.12
0074.jpg,277.52,341.67
0075.jpg,300.42,297.22
0076.jpg,323.33,252.78
0077.jpg,346.23,208.33
0078.jpg,369.14,163.89
0079.jpg,392.04,119.44
0080.jpg,414.95,75.0
0081.jpg,437.85,30.55
0082.jpg,460.75,21.66
0083.jpg,483.66,66.11
0084.jpg,506.56,110.55
0085.jpg,529.47,155.0
0086.jpg,552.37,199.45
0087.jpg,575.28,243.89
0088.jpg,598.18,288.34
0089.jpg,621.09,332.78
0090.jpg,643.99,377.23
0091.jpg,666.9,421.67
0092.jpg,689.8,466.12
0093.jpg,712.7,510.56
0094.jpg,735.61,555.01
0095.jpg,758.51,599.45
0096.jpg,781.42,643.9
0097.jpg,804.32,688.34
0098.jpg,827.23,732.79
0099.jpg,850.13,777.23
0100.jpg,873.04,821.68
0101.jpg,895.94,866.12
0102.jpg,918.84,839.46
0103.jpg,941.75,795.01
0104.jpg,964.65,750.57
0105.jpg,987.56,706.12
0106.jpg,1010.46,661.68
0107.jpg,1033.37,617.23
0108.jpg,1056.27,572.79
0109.jpg,1079.18,528.34
0110.jpg,1102.08,483.9
0111.jpg,1124.98,439.45
0112.jpg,1147.89,395.0
0113.jpg,1170.79,350.56
0114.jpg,1193.7,306.11
0115.jpg,1216.6,261.67
0116.jpg,1239.51,217.22
0117.jpg,1262.41,172.78
0118.jpg,1285.32,128.33
0119.jpg,1308.22,83.89
0120.jpg,1331.12,39.44
0121.jpg,1354.03,12.78
0122.jpg,1376.93,57.22
0123.jpg,1399.84,101.67
0124.jpg,1422.74,146.11
0125.jpg,1399.84,190.56
0126.jpg,1376.93,235.0
0127.jpg,1354.03,279.45
0128.jpg,1331.12,323.89
0129.jpg,1308.22,368.34
0130.jpg,1285.32,412.78
0131.jpg,1262.41,457.23
0132.jpg,1239.51,501.67
0133.jpg,1216.6,546.12
0134.jpg,1193.7,590.56
0135.jpg,1170.79,635.01
0136.jpg,1147.89,679.45
0137.jpg,1124.98,723.9
