frame,x,y
0000.jpg,0.755925,0.14611
0001.jpg,0.753476,0.10167
0002.jpg,0.74123,0.05722
0003.jpg,0.728979,0.01278
0004.jpg,0.716733,0.03944
0005.jpg,0.704481,0.08389
0006.jpg,0.692235,0.12833
0007.jpg,0.679984,0.17278
0008.jpg,0.667738,0.21722
0009.jpg,0.655487,0.26167
0010.jpg,0.643241,0.30611
0011.jpg,0.630995,0.35056
0012.jpg,0.618743,0.395
0013.jpg,0.606497,0.43945
0014.jpg,0.594246,0.4839
0015.jpg,0.582,0.52834
0016.jpg,0.569749,0.57279
0017.jpg,0.557503,0.61723
0018.jpg,0.545251,0.66168
0019.jpg,0.533005,0.70612
0020.jpg,0.520759,0.75057
0021.jpg,0.508508,0.79501
0022.jpg,0.496262,0.83946
0023.jpg,0.484011,0.86612
0024.jpg,0.471765,0.82168
0025.jpg,0.459513,0.77723
0026.jpg,0.447267,0.73279
0027.jpg,0.435016,0.68834
0028.jpg,0.42277,0.6439
0029.jpg,0.410519,0.59945
0030.jpg,0.398273,0.55501
0031.jpg,0.386027,0.51056
0032.jpg,0.373775,0.46612
0033.jpg,0.361529,0.42167
0034.jpg,0.349278,0.37723
0035.jpg,0.337032,0.33278
0036.jpg,0.324781,0.28834
0037.jpg,0.312535,0.24389
0038.jpg,0.300283,0.19945
0039.jpg,0.288037,0.155
0040.jpg,0.275791,0.11055
0041.jpg,0.26354,0.06611
0042.jpg,0.251294,0.02166
0043.jpg,0.239043,0.03055
0044.jpg,0.226797,0.075
0045.jpg,0.214545,0.11944
0046.jpg,0.202299,0.16389
0047.jpg,0.190048,0.20833
0048.jpg,0.177802,0.25278
0049.jpg,0.165556,0.29722
0050.jpg,0.153305,0.34167
0051.jpg,0.141059,0.38612
0052.jpg,0.128807,0.43056
0053.jpg,0.116561,0.47501
0054.jpg,0.10431,0.51945
0055.jpg,0.092064,0.5639
0056.jpg,0.079813,0.60834
0057.jpg,0.067567,0.65279
