frame, x, y
0, 1565.05, 915.54
1, 1556.10, 911.07
2, 1547.15, 906.61
3, 1538.21, 902.14
4, 1529.26, 897.68
5, 1520.31, 893.22
6, 1511.36, 888.75
7, 1502.41, 884.29
8, 1493.46, 879.82
9, 1484.52, 875.36
10, 1475.57, 870.90
11, 1466.62, 866.43
12, 1457.67, 861.97
13, 1448.72, 857.50
14, 1439.77, 853.04
15, 1430.83, 848.58
16, 1421.88, 844.11
17, 1412.93, 839.65
18, 1403.98, 835.18
19, 1395.03, 830.72
20, 1386.08, 826.26
21, 1377.14, 821.79
22, 1368.19, 817.33
23, 1359.24, 812.86
24, 1350.29, 808.40
25, 1341.34, 803.94
26, 1332.39, 799.47
27, 1323.45, 795.01
28, 1314.50, 790.55
29, 1305.55, 786.08
30, 1296.60, 781.62
31, 1287.65, 777.15
32, 1278.70, 772.69
33, 1269.76, 768.23
34, 1260.81, 763.76
35, 1251.86, 759.30
36, 1242.91, 754.83
37, 1233.96, 750.37
38, 1225.01, 745.91
39, 1216.07, 741.44
40, 1207.12, 736.98
41, 1198.17, 732.51
42, 1189.22, 728.05
43, 1180.27, 723.59
44, 1171.32, 719.12
45, 1162.38, 714.66
46, 1153.43, 710.19
47, 1144.48, 705.73
48, 1135.53, 701.27
49, 1126.58, 696.80
50, 1117.63, 692.34
51, 1108.69, 687.87
52, 1099.74, 683.41
53, 1090.79, 678.95
54, 1081.84, 674.48
55, 1072.89, 670.02
56, 1063.94, 665.55
57, 1055.00, 661.09
58, 1046.05, 656.63
59, 1037.10, 652.16
60, 1028.15, 647.70
61, 1019.20, 643.23
62, 1010.25, 638.77
63, 1001.31, 634.31
64, 992.36, 629.84
65, 983.41, 625.38
66, 974.46, 620.91
67, 965.51, 616.45
68, 956.56, 611.99
69, 947.62, 607.52
70, 938.67, 603.06
71, 929.72, 598.59
72, 1778.02, 271.65
73, 1783.04, 280.30
74, 1788.05, 288.95
75, 1793.07, 297.60
76, 1798.09, 306.25
77, 1803.11, 314.90
78, 1808.12, 323.55
79, 1813.14, 332.20
80, 1818.16, 340.85
81, 1823.18, 349.50
82, 1828.20, 358.15
83, 1833.21, 366.80
84, 1838.23, 375.45
85, 1843.25, 384.10
86, 1848.27, 392.75
87, 1853.28, 401.40
88, 1858.30, 410.05
89, 1863.32, 418.70
90, 1858.30, 427.35
91, 1853.28, 436.00
92, 1848.27, 444.65
93, 1843.25, 453.30
94, 1838.23, 461.95
95, 1833.21, 470.60
96, 1828.20, 479.25
97, 1823.18, 487.90
98, 1818.16, 496.55
99, 1813.14, 505.20
100, 1808.12, 513.85
101, 1803.11, 522.50
102, 1798.09, 531.15
103, 1793.07, 539.80
104, 1788.05, 548.45
105, 1783.04, 557.10
106, 1778.02, 565.75
107, 1773.00, 574.40
108, 1767.98, 583.05
109, 1762.96, 591.70
110, 1757.95, 600.35
111, 1752.93, 609.00
112, 1747.91, 617.65
113, 1742.89, 626.30
114, 1737.88, 634.95
115, 1732.86, 643.60
116, 1727.84, 652.25
117, 1722.82, 660.90
118, 1717.80, 669.55
119, 1712.79, 678.20
120, 1707.77, 686.85
121, 1702.75, 695.50
122, 1697.73, 704.15
123, 1692.72, 712.80
124, 1687.70, 721.45
125, 1682.68, 730.10
126, 1677.66, 738.75
127, 1672.64, 747.40
128, 1667.63, 756.05
129, 1662.61, 764.70
130, 1657.59, 773.35
131, 1652.57, 782.00
132, 1647.56, 790.65
133, 1642.54, 799.30
134, 1637.52, 807.95
135, 1632.50, 816.60
136, 1627.48, 825.25
137, 1622.47, 833.90
138, 1617.45, 842.55
139, 1612.43, 851.20
140, 1607.41, 859.85
141, 1602.40, 868.50
142, 1597.38, 877.15
143, 1592.36, 885.80
144, 1587.34, 894.45
145, 1582.32, 903.10
146, 1577.31, 911.75
147, 1572.29, 920.40
148, 1567.27, 929.05
149, 1562.25, 937.70
150, 1557.24, 946.35
151, 1552.22, 955.00
152, 1547.20, 963.65
153, 1542.18, 972.30
154, 1537.16, 980.95
155, 749.87, 922.02
156, 742.75, 929.03
157, 735.62, 936.05
158, 728.49, 943.06
159, 721.37, 950.08
160, 714.24, 957.09
161, 707.12, 964.11
162, 699.99, 971.12
163, 692.86, 978.14
164, 685.74, 985.15
165, 678.61, 992.17
166, 671.48, 985.15
167, 664.36, 978.14
168, 657.23, 971.12
169, 650.10, 964.11
170, 642.98, 957.09
171, 635.85, 950.08
172, 628.72, 943.06
173, 621.60, 936.05
174, 614.47, 929.03
175, 607.35, 922.02
176, 600.22, 915.00
177, 593.09, 907.98
178, 585.97, 900.97
179, 578.84, 893.95
180, 571.71, 886.94
181, 564.59, 879.92
182, 557.46, 872.91
183, 550.33, 865.89
184, 543.21, 858.88
185, 536.08, 851.86
186, 528.95, 844.85
187, 521.83, 837.83
188, 514.70, 830.82
189, 507.58, 823.80
190, 500.45, 816.79
191, 493.32, 809.77
192, 486.20, 802.76
193, 479.07, 795.74
194, 471.94, 788.72
195, 464.82, 781.71
196, 457.69, 774.69
197, 450.56, 767.68
198, 443.44, 760.66
199, 436.31, 753.65
200, 429.19, 746.63
201, 422.06, 739.62
202, 414.93, 732.60
203, 407.81, 725.59
204, 400.68, 718.57
205, 393.55, 711.56
206, 386.43, 704.54
207, 379.30, 697.53
208, 372.17, 690.51
209, 365.05, 683.50
210, 357.92, 676.48
211, 350.79, 669.46
212, 343.67, 662.45
213, 336.54, 655.43
214, 329.42, 648.42
215, 322.29, 641.40
216, 315.16, 634.39
217, 308.04, 627.37
218, 300.91, 620.36
219, 293.78, 613.34
220, 286.66, 606.33
221, 279.53, 599.31
222, 272.40, 592.30
223, 265.28, 585.28
224, 258.15, 578.27
225, 251.02, 571.25
226, 243.90, 564.24
227, 236.77, 557.22
228, 229.65, 550.20
229, 222.52, 543.19
230, 215.39, 536.17
231, 208.27, 529.16
232, 201.14, 522.14
233, 286.02, 428.45
234, 283.04, 418.91
235, 280.06, 409.36
236, 277.08, 399.82
237, 274.10, 390.27
238, 271.12, 380.73
239, 268.14, 371.18
240, 265.16, 361.63
241, 262.18, 352.09
242, 259.20, 342.54
243, 256.22, 333.00
244, 253.24, 323.45
245, 250.26, 313.91
246, 247.28, 304.36
247, 244.30, 294.81
248, 241.32, 285.27
249, 238.34, 275.72
250, 235.36, 266.18
251, 232.38, 256.63
252, 229.40, 247.09
253, 226.42, 237.54
254, 223.44, 227.99
255, 220.46, 218.45
256, 217.48, 208.90
257, 214.50, 199.36
258, 211.52, 189.81
259, 208.54, 180.27
260, 205.56, 170.72
261, 202.58, 161.18
262, 199.60, 151.63
263, 196.62, 142.08
264, 193.64, 132.54
265, 190.66, 122.99
266, 187.68, 113.45
267, 184.70, 103.90
268, 181.72, 94.36
269, 178.74, 84.81
270, 175.76, 75.26
271, 172.78, 65.72
272, 169.80, 56.17
