frame,x,y
0000.jpg,348.3,737.98
0001.jpg,344.78,787.85
0002.jpg,341.25,837.73
0003.jpg,337.73,887.6
0004.jpg,334.21,937.48
0005.jpg,330.69,987.35
0006.jpg,327.17,957.43
0007.jpg,323.65,907.55
0008.jpg,320.13,857.68
0009.jpg,94.75,806.45
0010.jpg,65.69,765.76
0011.jpg,36.63,725.08
0012.jpg,7.57,684.39
0013.jpg,36.63,643.7
0014.jpg,65.69,603.02
0015.jpg,94.75,562.33
0016.jpg,123.81,521.64
0017.jpg,387.2,59.92
0018.jpg,382.69,109.72
0019.jpg,378.19,159.51
0020.jpg,373.69,209.31
0021.jpg,369.18,259.11
0022.jpg,364.68,308.9
0023.jpg,360.17,358.7
0024.jpg,355.67,408.5
0025.jpg,351.17,458.29
0026.jpg,1783.25,595.0
0027.jpg,1783.5,545.0
0028.jpg,1783.75,495.0
0029.jpg,1784.0,445.0
0030.jpg,1784.25,395.0
0031.jpg,1784.5,345.0
0032.jpg,1784.75,295.0
0033.jpg,1785.0,245.0
0034.jpg,732.98,456.18
0035.jpg,744.62,504.8
0036.jpg,756.26,553.43
0037.jpg,767.9,602.06
0038.jpg,779.54,650.68
0039.jpg,791.18,699.31
0040.jpg,802.81,747.94
0041.jpg,814.45,796.56
0042.jpg,245.76,501.25
0043.jpg,234.55,452.53
0044.jpg,223.34,403.8
0045.jpg,212.14,355.07
0046.jpg,200.93,306.34
0047.jpg,189.72,257.62
0048.jpg,178.51,208.89
0049.jpg,167.3,160.16
0050.jpg,156.1,111.43
0051.jpg,976.11,913.34
0052.jpg,931.25,891.26
0053.jpg,886.39,869.18
0054.jpg,841.53,847.1
0055.jpg,796.67,825.02
0056.jpg,751.81,802.94
0057.jpg,706.95,780.86
0058.jpg,662.09,758.78
0059.jpg,1538.77,282.03
0060.jpg,1588.19,289.62
0061.jpg,1637.61,297.2
0062.jpg,1687.03,304.78
0063.jpg,1736.46,312.37
0064.jpg,1785.88,319.95
0065.jpg,1835.3,327.53
0066.jpg,1845.18,335.12
0067.jpg,1795.76,342.7
0068.jpg,926.44,722.94
0069.jpg,892.88,685.87
0070.jpg,859.32,648.81
0071.jpg,825.76,611.74
0072.jpg,792.2,574.68
0073.jpg,758.65,537.61
0074.jpg,725.09,500.55
0075.jpg,691.53,463.48
0076.jpg,1274.06,482.9
0077.jpg,1224.16,486.06
0078.jpg,1174.26,489.22
0079.jpg,1124.36,492.38
0080.jpg,1074.46,495.54
0081.jpg,1024.56,498.71
0082.jpg,974.66,501.87
0083.jpg,924.76,505.03
0084.jpg,1170.96,408.18
0085.jpg,1190.78,454.09
0086.jpg,1210.59,500.0
0087.jpg,1230.4,545.9
0088.jpg,1250.22,591.81
0089.jpg,1270.03,637.72
0090.jpg,1289.84,683.62
0091.jpg,1309.65,729.53
0092.jpg,1329.47,775.44
0093.jpg,1054.08,756.51
0094.jpg,1095.43,728.4
0095.jpg,1136.78,700.28
0096.jpg,1178.12,672.17
0097.jpg,1219.47,644.06
0098.jpg,1260.82,615.95
0099.jpg,1302.17,587.83
0100.jpg,1343.52,559.72
0101.jpg,914.54,472.12
0102.jpg,893.4,517.43
0103.jpg,872.26,562.75
0104.jpg,851.12,608.06
0105.jpg,829.98,653.37
0106.jpg,808.84,698.68
0107.jpg,787.7,743.99
0108.jpg,766.55,789.3
0109.jpg,745.41,834.61
0110.jpg,1068.39,298.73
0111.jpg,1018.79,292.46
0112.jpg,969.18,286.19
0113.jpg,919.58,279.91
0114.jpg,869.97,273.64
0115.jpg,820.37,267.37
0116.jpg,770.76,261.1
0117.jpg,721.16,254.83
0118.jpg,1455.29,888.45
0119.jpg,1412.43,914.21
0120.jpg,1369.58,939.97
0121.jpg,1326.72,965.73
0122.jpg,1283.87,991.49
0123.jpg,1241.01,976.03
0124.jpg,1198.16,950.27
0125.jpg,1155.31,924.52
0126.jpg,1819.98,60.65
0127.jpg,1794.9,103.9
0128.jpg,1769.82,147.16
0129.jpg,1744.73,190.41
0130.jpg,1719.65,233.66
0131.jpg,1694.57,276.92
0132.jpg,1669.48,320.17
0133.jpg,1644.4,363.42
0134.jpg,1619.32,406.68
0135.jpg,241.9,46.89
0136.jpg,268.03,4.26
0137.jpg,294.15,46.89
0138.jpg,320.28,89.53
0139.jpg,346.4,132.16
0140.jpg,372.53,174.79
0141.jpg,398.66,217.42
0142.jpg,424.78,260.05
0143.jpg,1187.7,311.8
0144.jpg,1166.97,266.31
0145.jpg,1146.23,220.81
0146.jpg,1125.49,175.31
0147.jpg,1104.75,129.82
0148.jpg,1084.01,84.32
0149.jpg,1063.27,38.82
0150.jpg,1042.54,11.53
0151.jpg,1021.8,57.02
0152.jpg,1473.65,240.91
0153.jpg,1430.29,265.82
0154.jpg,1386.94,290.73
0155.jpg,1343.59,315.64
