segment_id,frame,x,y,phase
0,0000.jpg,0.914973,0.901,wait
0,0001.jpg,0.914973,0.901,wait
0,0002.jpg,0.939955,0.91882,move
0,0003.jpg,0.964938,0.93664,move
0,0004.jpg,0.98992,0.95446,move
0,0005.jpg,0.980733,0.972279,move
0,0006.jpg,0.95575,0.990099,move
0,0007.jpg,0.930768,0.977744,move
0,0008.jpg,0.905786,0.959924,move
0,0009.jpg,0.880804,0.942104,move
0,0010.jpg,0.855822,0.924285,move
0,0011.jpg,0.830839,0.906465,move
1,0012.jpg,0.113904,0.878,wait
1,0013.jpg,0.113904,0.878,wait
1,0014.jpg,0.088456,0.862655,move
1,0015.jpg,0.063009,0.84731,move
1,0016.jpg,0.037561,0.831964,move
1,0017.jpg,0.012113,0.816619,move
1,0018.jpg,0.019547,0.801274,move
1,0019.jpg,0.044994,0.785929,move
1,0020.jpg,0.070442,0.770583,move
1,0021.jpg,0.095889,0.755238,move
1,0022.jpg,0.121337,0.739893,move
1,0023.jpg,0.146785,0.724548,move
1,0024.jpg,0.172232,0.709202,move
2,0025.jpg,0.792513,0.119,wait
2,0026.jpg,0.807005,0.131871,move
2,0027.jpg,0.831157,0.153323,move
2,0028.jpg,0.855309,0.174775,move
2,0029.jpg,0.879461,0.196227,move
2,0030.jpg,0.903613,0.217679,move
2,0031.jpg,0.927765,0.239131,move
2,0032.jpg,0.951917,0.260583,move
2,0033.jpg,0.976069,0.282035,move
2,0034.jpg,0.995722,0.303486,move
2,0035.jpg,0.97157,0.324938,move
2,0036.jpg,0.947418,0.34639,move
3,0037.jpg,0.075936,0.879,wait
3,0038.jpg,0.066766,0.868707,move
3,0039.jpg,0.04384,0.842975,move
3,0040.jpg,0.020915,0.817244,move
3,0041.jpg,0.008863,0.791512,move
3,0042.jpg,0.031788,0.76578,move
3,0043.jpg,0.054714,0.740048,move
3,0044.jpg,0.077639,0.714316,move
3,0045.jpg,0.100565,0.688584,move
3,0046.jpg,0.12349,0.662852,move
3,0047.jpg,0.146415,0.637121,move
3,0048.jpg,0.169341,0.611389,move
4,0049.jpg,0.877005,0.932,wait
4,0050.jpg,0.886356,0.922292,move
4,0051.jpg,0.909733,0.898023,move
4,0052.jpg,0.93311,0.873753,move
4,0053.jpg,0.956487,0.849483,move
4,0054.jpg,0.979864,0.825214,move
4,0055.jpg,0.991047,0.800944,move
4,0056.jpg,0.96767,0.776674,move
4,0057.jpg,0.944293,0.752405,move
4,0058.jpg,0.920916,0.728135,move
4,0059.jpg,0.897539,0.703865,move
4,0060.jpg,0.874162,0.679596,move
5,0061.jpg,0.985027,0.125,wait
5,0062.jpg,0.985027,0.125,wait
5,0063.jpg,0.96086,0.103605,move
5,0064.jpg,0.936694,0.082211,move
5,0065.jpg,0.912527,0.060816,move
5,0066.jpg,0.88836,0.039421,move
5,0067.jpg,0.864194,0.018027,move
5,0068.jpg,0.840027,0.016558,move
5,0069.jpg,0.815861,0.037953,move
5,0070.jpg,0.791694,0.059347,move
5,0071.jpg,0.767528,0.080742,move
5,0072.jpg,0.743361,0.102136,move
6,0073.jpg,0.953476,0.951,wait
6,0074.jpg,0.953476,0.951,wait
6,0075.jpg,0.974843,0.952858,move
6,0076.jpg,0.99038,0.95518,move
6,0077.jpg,0.963671,0.957502,move
6,0078.jpg,0.936962,0.959823,move
6,0079.jpg,0.910253,0.962145,move
6,0080.jpg,0.883544,0.964467,move
6,0081.jpg,0.856834,0.966789,move
6,0082.jpg,0.830125,0.969111,move
