gt_x,gt_y,pred_x,pred_y
0.5,0.875,0.5254827,0.50094855
0.5,0.875,0.513943,0.5043774
0.5,0.875,0.5399111,0.5076978
0.5,0.875,0.5332681,0.50278705
0.5,0.875,0.52344227,0.5032365
0.28521127,0.3125,0.5156527,0.49059033
0.28521127,0.3125,0.51901686,0.4980757
0.28521127,0.3125,0.5083173,0.48988074
0.28521127,0.3125,0.52526724,0.48083058
0.5,0.875,0.5281872,0.49448752
0.5,0.875,0.5119358,0.49124715
0.5,0.875,0.5377629,0.4878981
0.5,0.875,0.5274074,0.50395745
0.5,0.875,0.51675206,0.50413126
0.40254605,0.8586217,0.54750264,0.5459805
0.40254605,0.8586217,0.56823176,0.56616765
0.40254605,0.8586217,0.56133366,0.55052584
0.40254605,0.8586217,0.5553353,0.5449683
0.29246056,0.49275696,0.5505553,0.53890854
0.29246056,0.49275696,0.56334513,0.5431575
0.29246056,0.49275696,0.5548752,0.5453613
0.29246056,0.49275696,0.56626797,0.5544465
0.29246056,0.49275696,0.55216944,0.5419418
0.6875,0.28521127,0.54119825,0.52310723
0.6875,0.28521127,0.538841,0.5274503
0.6875,0.28521127,0.5374043,0.5243223
0.875,0.07042254,0.5304588,0.525012
0.875,0.07042254,0.5373907,0.5269505
0.875,0.07042254,0.5466188,0.5318925
0.875,0.07042254,0.5344749,0.5287461
0.875,0.5,0.5493176,0.52144456
0.875,0.5,0.55942595,0.53442746
0.875,0.5,0.53740865,0.52378243
0.875,0.5,0.55476034,0.5294818
0.48338547,0.37390435,0.5573636,0.5328342
0.48338547,0.37390435,0.5410309,0.5155272
0.48338547,0.37390435,0.5432722,0.52021897
0.48338547,0.37390435,0.55021125,0.5309441
0.48338547,0.37390435,0.5413356,0.5229932
0.34972453,0.67304724,0.5426737,0.52548337
0.34972453,0.67304724,0.545246,0.5401558
0.34972453,0.67304724,0.545845,0.5431629
0.34972453,0.67304724,0.5492504,0.5386859
0.34972453,0.67304724,0.53966606,0.5274711
0.17273828,0.54770553,0.4727714,0.49631423
0.17273828,0.54770553,0.47805768,0.4974942
0.17273828,0.54770553,0.48779824,0.5049042
0.17273828,0.54770553,0.47280252,0.50222677
0.29056174,0.46705422,0.48112667,0.50314045
0.29056174,0.46705422,0.47982034,0.49505195
0.29056174,0.46705422,0.47561166,0.49461493
0.29056174,0.46705422,0.46958584,0.49888515
0.329603,0.51850474,0.46477306,0.4888689
0.329603,0.51850474,0.46137604,0.49062613
0.329603,0.51850474,0.46941617,0.49782404
0.329603,0.51850474,0.4759969,0.4960454
0.6636662,0.40996212,0.49401525,0.516516
0.6636662,0.40996212,0.47125745,0.5048504
0.6636662,0.40996212,0.46358538,0.49333185
0.6636662,0.40996212,0.4736459,0.4925335
0.6636662,0.40996212,0.48038492,0.50370544
0.6636662,0.40996212,0.46184242,0.49932915
0.6636662,0.40996212,0.47001475,0.5003869
0.6636662,0.40996212,0.46714714,0.48684996
0.329603,0.51850474,0.46262527,0.48159054
0.329603,0.51850474,0.47427446,0.49745315
0.329603,0.51850474,0.46475947,0.49390814
0.329603,0.51850474,0.46690544,0.4961194
0.17273828,0.54770553,0.48720908,0.5066966
0.17273828,0.54770553,0.4798399,0.49753633
0.17273828,0.54770553,0.496111,0.50180835
0.17273828,0.54770553,0.46390963,0.49908924
0.29056174,0.46705422,0.47353017,0.49633
0.29056174,0.46705422,0.46359536,0.49771655
0.29056174,0.46705422,0.48577031,0.50909376
0.29056174,0.46705422,0.46873006,0.49492332
0.17273828,0.54770553,0.49374482,0.506596
0.17273828,0.54770553,0.4626171,0.49563462
0.17273828,0.54770553,0.4666856,0.49909428
0.17273828,0.54770553,0.48672104,0.5089317
0.329603,0.51850474,0.45853892,0.48997882
0.329603,0.51850474,0.4630685,0.47702974
0.329603,0.51850474,0.47249532,0.5012014
0.329603,0.51850474,0.46971762,0.4986163
0.29056174,0.46705422,0.47096246,0.5026874
0.29056174,0.46705422,0.45800695,0.4914095
0.29056174,0.46705422,0.4554257,0.4859271
0.29056174,0.46705422,0.46354812,0.49880296
0.6636662,0.40996212,0.47487694,0.48363575
0.6636662,0.40996212,0.47113624,0.4975365
0.6636662,0.40996212,0.4824045,0.50575256
0.6636662,0.40996212,0.46950835,0.48796907
0.329603,0.51850474,0.4675417,0.4897991
0.329603,0.51850474,0.49129152,0.5049675
0.329603,0.51850474,0.48457906,0.51034653
0.329603,0.51850474,0.4634546,0.4911148
0.6636662,0.40996212,0.492545,0.5078637
0.6636662,0.40996212,0.47493938,0.4903948
0.6636662,0.40996212,0.48547387,0.50774646
0.6636662,0.40996212,0.4859808,0.5078136
0.17273828,0.54770553,0.4746338,0.49510345
0.17273828,0.54770553,0.4755429,0.49987212
0.17273828,0.54770553,0.47591114,0.49808133
0.17273828,0.54770553,0.48895672,0.50293523
0.29056174,0.46705422,0.48700383,0.5034272
0.29056174,0.46705422,0.46696022,0.48169354
0.29056174,0.46705422,0.4710019,0.48650753
0.29056174,0.46705422,0.48238719,0.5125371
0.9609375,0.5,0.48856315,0.44784355
0.9609375,0.5,0.47658753,0.46097594
0.9609375,0.5,0.48297572,0.45770463
0.9609375,0.5,0.4749666,0.4632994
0.7241225,0.6288251,0.47250777,0.46306548
0.7241225,0.6288251,0.47718647,0.45954016
0.7241225,0.6288251,0.47690672,0.46675703
0.7241225,0.6288251,0.46860287,0.46397558
0.13856407,0.20120777,0.4847664,0.44343504
0.13856407,0.20120777,0.48516524,0.44364178
0.13856407,0.20120777,0.4734001,0.4500131
0.13856407,0.20120777,0.47474712,0.44672927
0.9609375,0.9479167,0.4788981,0.45763105
0.9609375,0.9479167,0.49114838,0.46133134
0.9609375,0.9479167,0.47511557,0.45704457
0.9609375,0.9479167,0.47587216,0.46364647
0.05615216,0.16968729,0.48392308,0.4521675
0.05615216,0.16968729,0.49251118,0.45569152
0.05615216,0.16968729,0.47969994,0.44895124
0.05615216,0.16968729,0.50983095,0.4617801
0.9609375,0.5,0.48782164,0.45245963
0.9609375,0.5,0.47741482,0.45292678
0.9609375,0.5,0.4767182,0.4463509
0.9609375,0.5,0.48609468,0.45308304
