gt_x,gt_y,pred_x,pred_y
0.6097272,0.24633743,0.51235414,0.46866077
0.6097272,0.24633743,0.51176983,0.4791334
0.6097272,0.24633743,0.51224905,0.48206982
0.6097272,0.24633743,0.5135239,0.47643444
0.11363398,0.1627989,0.5124618,0.47750753
0.11363398,0.1627989,0.5136468,0.48156804
0.11363398,0.1627989,0.50997275,0.4768531
0.11363398,0.1627989,0.517495,0.478179
0.11363398,0.1627989,0.514164,0.47973803
0.38950256,0.6165508,0.5089312,0.4785496
0.38950256,0.6165508,0.50174266,0.47871795
0.38950256,0.6165508,0.5102027,0.4779592
0.38950256,0.6165508,0.50972795,0.4805629
0.76944375,0.05680555,0.5096355,0.47734156
0.76944375,0.05680555,0.5123768,0.4806435
0.76944375,0.05680555,0.509872,0.48059082
0.76944375,0.05680555,0.5113373,0.47901198
0.5,0.9609375,0.52035874,0.47666234
0.5,0.9609375,0.5190711,0.47604063
0.5,0.9609375,0.51286125,0.47705343
0.5,0.9609375,0.5084471,0.4830379
0.5,0.9609375,0.51353705,0.47485355
0.5,0.5,0.5144689,0.4766306
0.5,0.5,0.5115333,0.48191047
0.5,0.5,0.5097999,0.4744906
0.5,0.5,0.5191838,0.47678107
0.40028843,0.62435347,0.50984263,0.47535717
0.40028843,0.62435347,0.50917953,0.47651652
0.40028843,0.62435347,0.5100841,0.4790088
0.40028843,0.62435347,0.51656663,0.47307587
0.94392186,0.51954347,0.51395446,0.47606656
0.94392186,0.51954347,0.5086626,0.47540545
0.94392186,0.51954347,0.50987864,0.48022074
0.94392186,0.51954347,0.5111734,0.48146826
0.082764745,0.5623814,0.5110114,0.47589743
0.082764745,0.5623814,0.5102759,0.47576755
0.082764745,0.5623814,0.5115975,0.48042002
0.082764745,0.5623814,0.5113047,0.47991076
0.7239583,0.26953125,0.510575,0.48016667
0.7239583,0.26953125,0.5102584,0.48198384
0.7239583,0.26953125,0.5075515,0.46793765
0.7239583,0.26953125,0.5099622,0.4809811
0.11687106,0.35901007,0.5135542,0.4791221
0.11687106,0.35901007,0.51053387,0.47792563
0.11687106,0.35901007,0.5121688,0.4842148
0.11687106,0.35901007,0.5138259,0.4766245
0.11687106,0.35901007,0.51267964,0.47456303
0.54130733,0.7459181,0.5106582,0.48118132
0.54130733,0.7459181,0.51064116,0.4764142
0.54130733,0.7459181,0.511407,0.48232698
0.54130733,0.7459181,0.51028126,0.47637147
0.7239583,0.73046875,0.5108641,0.4849177
0.7239583,0.73046875,0.50927544,0.48255453
0.7239583,0.73046875,0.51636827,0.47467142
0.7239583,0.73046875,0.5079847,0.47683612
0.052083332,0.0390625,0.5059423,0.47890964
0.052083332,0.0390625,0.5037994,0.4777053
0.052083332,0.0390625,0.49562636,0.4663763
0.052083332,0.0390625,0.50457454,0.48190838
0.44418633,0.73440146,0.49311054,0.47027007
0.44418633,0.73440146,0.5064859,0.48355213
0.44418633,0.73440146,0.49735335,0.48240727
0.44418633,0.73440146,0.5000096,0.4906049
0.44418633,0.73440146,0.50517994,0.48212197
0.2933185,0.2640059,0.50578076,0.47700873
0.2933185,0.2640059,0.50498885,0.48093235
0.2933185,0.2640059,0.5028584,0.4748979
0.2933185,0.2640059,0.50458795,0.47556442
0.46161214,0.424678,0.5022608,0.4863348
0.46161214,0.424678,0.4965542,0.48241243
0.46161214,0.424678,0.5049554,0.48519897
0.46161214,0.424678,0.50434226,0.48780784
0.4482033,0.31787434,0.50550014,0.48039436
0.4482033,0.31787434,0.5080245,0.47606355
0.4482033,0.31787434,0.50286716,0.4754044
0.4482033,0.31787434,0.5047005,0.48828003
0.052083332,0.5,0.50409997,0.48780382
0.052083332,0.5,0.5056753,0.48652086
0.052083332,0.5,0.50695467,0.4895242
0.052083332,0.5,0.50454026,0.47772324
0.27604166,0.26953125,0.5068065,0.48752075
0.27604166,0.26953125,0.50075436,0.47605813
0.27604166,0.26953125,0.50621855,0.48581398
0.27604166,0.26953125,0.5040054,0.4896884
0.58721244,0.599091,0.5046067,0.48211998
0.58721244,0.599091,0.5039726,0.48444137
0.58721244,0.599091,0.50829154,0.48708466
0.58721244,0.599091,0.5034345,0.48778135
0.58721244,0.599091,0.50802785,0.4883867
0.18517402,0.10475714,0.50614697,0.4868927
0.18517402,0.10475714,0.50738853,0.4832824
0.18517402,0.10475714,0.50334156,0.48189205
0.18517402,0.10475714,0.50781214,0.49084547
0.18517402,0.10475714,0.5074996,0.48775592
0.27604166,0.73046875,0.50756794,0.48596695
0.27604166,0.73046875,0.5043849,0.48864296
0.27604166,0.73046875,0.5033643,0.47951424
0.27604166,0.73046875,0.5033004,0.48716584
0.9479167,0.9609375,0.5092629,0.48243368
0.9479167,0.9609375,0.5066038,0.4868641
0.9479167,0.9609375,0.50575864,0.48468018
0.9479167,0.9609375,0.5075398,0.48630154
0.052083332,0.9609375,0.50714594,0.48472953
0.052083332,0.9609375,0.5036828,0.4858152
0.052083332,0.9609375,0.5071944,0.48702568
0.052083332,0.9609375,0.5058341,0.48133034
0.9479167,0.0390625,0.5051958,0.48860598
0.9479167,0.0390625,0.50896007,0.4863714
0.9479167,0.0390625,0.50584716,0.4823821
0.9479167,0.0390625,0.5033495,0.4849633
0.26600042,0.2416432,0.5065504,0.4892525
0.26600042,0.2416432,0.5074777,0.48425433
0.26600042,0.2416432,0.50233,0.48494008
0.26600042,0.2416432,0.50166476,0.48531485
0.9479167,0.5,0.50372326,0.48658857
0.9479167,0.5,0.5051058,0.4892331
0.9479167,0.5,0.50155437,0.4814224
0.9479167,0.5,0.50568163,0.4882465
0.86368865,0.40294564,0.51052815,0.48224372
0.86368865,0.40294564,0.49805182,0.4716999
0.86368865,0.40294564,0.5082205,0.4791681
0.86368865,0.40294564,0.5021011,0.4862776
0.5,0.0390625,0.50533634,0.48354688
0.5,0.0390625,0.510931,0.48585492
0.5,0.0390625,0.50458634,0.4848886
0.5,0.0390625,0.50600785,0.4840042
0.94392186,0.51954347,0.5146737,0.48264202
0.94392186,0.51954347,0.5010047,0.47377196
0.94392186,0.51954347,0.50853866,0.48381376
0.94392186,0.51954347,0.50660324,0.48540226
0.052083332,0.5,0.5057426,0.48551992
0.052083332,0.5,0.5021482,0.48601663
0.052083332,0.5,0.49181342,0.47258747
0.052083332,0.5,0.50406635,0.48327193
0.4482033,0.31787434,0.50695264,0.48511338
0.4482033,0.31787434,0.50839543,0.4835282
0.4482033,0.31787434,0.50227773,0.48394123
0.4482033,0.31787434,0.5032264,0.48292822
